CHAIN,SENDER,ASSETS
polygon,0x5161716F02ebDdE4eB8BDcb80994a69b5951a63C,2.0
polygon,0x90e9Ecc016A6971Cd28ceE85C53e72517A451a38,952.628185
polygon,0x74FC9058e5fc25c23C628ddfa9E2d95967d3f11f,0.008917
polygon,0x66EC0Da50B1B54A52817417FE1A92dF7A961d149,2.500002
polygon,0x5161716F02ebDdE4eB8BDcb80994a69b5951a63C,0.283381
polygon,0xC7d15f80A49F396e9D5B0c07DB9D727deEaE52fc,315.129494
polygon,0x19A313d0D3eF1Cd269817aE4f943DFf55CfF2568,3.436325
polygon,0xAaF79B2956080cdfb589216db4f3cfb5c3A33A59,6.812583
polygon,0x831Db56a947c2A680A0Ac4700A87f98Db32328D8,0.01
polygon,0x108706524972d0E44936B34109de5bf18Ed60c67,0.01
polygon,0x4A228f14d2130E8E4636418B52aAF3D6b4E887D3,0.01
polygon,0x4d68BF377995c478bb8D3bB1eDE71502c7E55E94,0.01
polygon,0x90e06d2d9705c181Bad2A4e7c3DcA13631a6f479,50.0
polygon,0x25FA68A4c340202737EDBC67fD1a2Ec8DE872dB6,1.0
polygon,0xdAc7a91516112703448B5d1fbC8B679fcE838E8A,0.01
polygon,0x2446f1a75162F045d02F23D1D3b0F5A2C0f9A4cB,0.005327
polygon,0xa9E14C1DF751dC3E710fCB3A92019667ae7fCF2D,0.01
polygon,0x605203FA80FB81b3AcdCa5b26fA7cBC8F9CaCFcE,0.510239
polygon,0x0754F1Df5f57C969E82a4E6e9d1f1c7D04Df7587,0.001
polygon,0x1415517e51Cd6b8cca8C1Da56400ff47aab03644,0.2
polygon,0x59c6D0c21d9700F3dbD25c7533C87ebA53fFbFff,0.03
polygon,0x90e9Ecc016A6971Cd28ceE85C53e72517A451a38,3500.0
polygon,0x90e9Ecc016A6971Cd28ceE85C53e72517A451a38,998.644005
polygon,0x90e9Ecc016A6971Cd28ceE85C53e72517A451a38,27.721975
polygon,0x6F4109bF65c9f896A43A11F00E65bF5Cc75C9bcb,0.04
polygon,0xE53F4d44c45dBc16a20aB64f8a8B4404dDbBefEC,2.233924
polygon,0x24caa63Ed5FbB4E3EbA71D5e10930fdAe1eB7171,433.767551
polygon,0xcC6cEaF8C8A3E55Da475Dd043A846520676Fc7E9,8.366346
